year,position,team,points,games,victories,draws,losses,goals_scored,goals_against,goals_difference,perc_points_won
2003,8, Flamengo,66,46,18,12,16,66,73,–7,47
2004,17, Flamengo,54,46,13,15,18,51,53,-2,39
2005,15, Flamengo,55,42,14,13,15,56,60,–4,44
2006,11, Flamengo,52,38,15,7,16,44,48,4,46
2007,3, Flamengo,61,38,17,10,11,55,49,6,54
2008,5, Flamengo,64,38,18,10,10,67,48,19,56
2009,1, Flamengo,67,38,19,10,9,58,44,14,59
2010,14, Flamengo,44,38,9,17,12,41,44,-3,39
2011,4, Flamengo,61,38,15,16,7,59,47,12,53
2012,11, Flamengo,50,38,12,14,12,39,46,–7,44
2013,16, Flamengo,45,38,12,13,13,43,46,–3,43
2014,10, Flamengo,52,38,14,10,14,46,47,–1,45
2015,12, Flamengo,49,38,15,4,19,45,53,–8,43
2016,3, Flamengo,71,38,20,11,7,52,35,17,62
2017,6, Flamengo,56,38,15,11,12,49,38,11,49
2018,2, Flamengo,72,38,21,9,8,59,29,30,63
2019,1,Flamengo,90,38,28,6,4,86,33,53,81
